region,enjeux_mentionnes,n_mentions,indice_total,n_jours,pct_saillance
Anglophones,Transport collectif,15,4430,13,12.5
Anglophones,Infrastructures de transport,17,4250,15,12
Anglophones,Itinérance / Logement social,17,4220,15,11.9
Anglophones,Coût des loyers / Accès à la propriété,13,3100,12,8.7
Anglophones,Transport actif,11,2680,9,7.5
Anglophones,Développement économique,11,2620,10,7.4
Anglophones,Congestion routière / Chantiers,12,2550,10,7.2
Anglophones,Taxes,9,1900,8,5.3
Anglophones,Réduction des dépenses,6,1720,5,4.8
Anglophones,Bureaucratie / Réglementation,8,1590,7,4.5
Francophones,Itinérance / Logement social,15,5180,11,14.9
Francophones,Coût des loyers / Accès à la propriété,11,4560,8,13.1
Francophones,Bureaucratie / Réglementation,14,4160,11,12
Francophones,Transport actif,9,2940,7,8.5
Francophones,Propreté / Déneigement / Services publics,11,2730,9,7.9
Francophones,Développement économique,12,2580,9,7.4
Francophones,Sécurité / Criminalité,12,2560,12,7.4
Francophones,Transport collectif,10,2170,8,6.2
Francophones,Infrastructures de transport,11,2130,10,6.1
Francophones,Culture / Loisirs,7,1620,6,4.7
